TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON
1610612751,New Jersey Nets,20,14,6,0.7,975.0,0.453,0.336,0.164,0.339,0.464,0.342,0.165,0.268,2,2,10,1,2,13,9,10,5,6,8,4,2,2002-03
1610612740,New Orleans Hornets,6,2,4,0.333,288.0,0.479,0.328,0.164,0.338,0.471,0.374,0.161,0.348,11,11,1,11,15,7,10,12,6,7,11,5,13,2002-03
1610612753,Orlando Magic,7,3,4,0.429,336.0,0.459,0.357,0.171,0.273,0.462,0.443,0.152,0.348,9,9,1,8,9,11,6,14,14,5,16,9,12,2002-03
1610612755,Philadelphia 76ers,12,6,6,0.5,586.0,0.468,0.345,0.167,0.345,0.473,0.358,0.157,0.299,5,6,10,4,5,10,7,13,3,8,10,8,6,2002-03
1610612756,Phoenix Suns,6,2,4,0.333,293.0,0.414,0.265,0.172,0.303,0.438,0.432,0.197,0.36,11,11,1,11,11,16,15,15,9,1,15,1,15,2002-03
1610612757,Portland Trail Blazers,7,3,4,0.429,336.0,0.501,0.373,0.152,0.381,0.507,0.269,0.125,0.29,9,9,1,8,9,2,5,6,2,15,1,15,4,2002-03
1610612758,Sacramento Kings,12,7,5,0.583,586.0,0.499,0.341,0.137,0.319,0.495,0.281,0.146,0.335,5,5,9,3,5,4,8,2,7,12,3,11,11,2002-03
1610612759,San Antonio Spurs,24,16,8,0.667,1157.0,0.476,0.399,0.164,0.314,0.439,0.277,0.161,0.296,1,1,14,2,1,9,3,11,8,2,2,6,5,2002-03
1610612762,Utah Jazz,5,1,4,0.2,240.0,0.446,0.386,0.179,0.403,0.516,0.355,0.149,0.359,16,16,1,16,16,14,4,16,1,16,9,10,14,2002-03
1610612738,Boston Celtics,4,0,4,0.0,192.0,0.445,0.383,0.217,0.277,0.501,0.269,0.139,0.322,14,14,1,14,14,11,2,16,13,13,1,14,11,2003-04
1610612742,Dallas Mavericks,5,1,4,0.2,240.0,0.422,0.245,0.138,0.397,0.481,0.287,0.167,0.303,10,10,1,10,11,15,15,1,1,10,3,10,7,2003-04
1610612743,Denver Nuggets,5,1,4,0.2,240.0,0.452,0.193,0.155,0.341,0.503,0.348,0.179,0.288,10,10,1,10,11,7,16,4,2,14,12,4,3,2003-04
1610612765,Detroit Pistons,23,16,7,0.696,1124.0,0.439,0.359,0.167,0.335,0.423,0.315,0.174,0.294,1,1,13,1,1,12,4,9,3,3,5,6,4,2003-04
1610612745,Houston Rockets,5,1,4,0.2,245.0,0.458,0.306,0.186,0.274,0.458,0.355,0.114,0.258,10,10,1,10,10,5,10,13,15,8,14,16,2,2003-04
1610612754,Indiana Pacers,16,10,6,0.625,768.0,0.448,0.33,0.156,0.288,0.422,0.348,0.179,0.299,4,3,12,3,4,9,6,5,11,2,11,5,5,2003-04
1610612747,Los Angeles Lakers,22,13,9,0.591,1066.0,0.477,0.375,0.142,0.277,0.456,0.33,0.165,0.306,2,2,16,5,2,3,3,2,14,7,7,11,8,2003-04
1610612763,Memphis Grizzlies,4,0,4,0.0,192.0,0.45,0.324,0.162,0.249,0.561,0.351,0.185,0.327,14,14,1,14,14,8,7,7,16,16,13,2,13,2003-04
1610612748,Miami Heat,13,6,7,0.462,624.0,0.433,0.343,0.161,0.311,0.445,0.347,0.181,0.3,5,7,13,8,5,13,5,6,8,5,10,3,6,2003-04
1610612749,Milwaukee Bucks,5,1,4,0.2,240.0,0.447,0.278,0.181,0.307,0.494,0.315,0.155,0.365,10,10,1,10,11,10,13,12,9,12,6,13,16,2003-04
1610612750,Minnesota Timberwolves,18,10,8,0.556,869.0,0.479,0.302,0.165,0.281,0.463,0.307,0.139,0.307,3,3,15,7,3,2,11,8,12,9,4,15,9,2003-04
1610612751,New Jersey Nets,11,7,4,0.636,543.0,0.454,0.416,0.201,0.314,0.419,0.334,0.173,0.324,7,5,1,2,7,6,1,15,7,1,8,7,12,2003-04
1610612740,New Orleans Hornets,7,3,4,0.429,336.0,0.422,0.272,0.194,0.327,0.431,0.338,0.171,0.318,9,9,1,9,9,14,14,14,4,4,9,8,10,2003-04
1610612752,New York Knicks,4,0,4,0.0,192.0,0.411,0.316,0.177,0.319,0.505,0.448,0.207,0.337,14,14,1,14,14,16,8,11,6,15,16,1,14,2003-04
1610612758,Sacramento Kings,12,7,5,0.583,581.0,0.46,0.299,0.15,0.292,0.447,0.269,0.156,0.339,6,5,11,6,6,4,12,3,10,6,2,12,15,2003-04
1610612759,San Antonio Spurs,10,6,4,0.6,480.0,0.485,0.314,0.176,0.327,0.482,0.383,0.169,0.253,8,7,1,4,8,1,9,10,5,11,15,9,1,2003-04
1610612738,Boston Celtics,7,3,4,0.429,341.0,0.475,0.306,0.174,0.289,0.444,0.452,0.178,0.304,9,9,1,8,9,10,11,15,13,1,15,2,4,2004-05
1610612741,Chicago Bulls,6,2,4,0.333,288.0,0.472,0.368,0.157,0.337,0.472,0.436,0.146,0.347,11,11,1,11,11,11,6,11,5,6,14,12,12,2004-05
1610612742,Dallas Mavericks,13,6,7,0.462,629.0,0.492,0.338,0.139,0.346,0.525,0.324,0.148,0.327,5,5,13,6,5,6,10,5,4,14,6,10,9,2004-05
1610612743,Denver Nuggets,5,1,4,0.2,245.0,0.431,0.387,0.14,0.277,0.487,0.419,0.152,0.326,12,12,1,12,12,16,3,7,14,7,13,7,8,2004-05
1610612765,Detroit Pistons,25,15,10,0.6,1210.0,0.466,0.286,0.14,0.335,0.47,0.309,0.164,0.289,1,2,16,3,1,12,13,8,6,4,3,5,2,2004-05
