TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612766,Charlotte Hornets,10,6,4,0.6,480.0,105.4,106.1,97.7,98.6,7.7,7.5,0.581,1.63,15.8,0.325,0.695,0.507,0.134,0.462,0.521,91.2,90.45,75.37,902,0.538,6,5,10,2,6,2,2,2,10,7,9,5,4,5,3,7,5,8,2,2000-01
1610612742,Dallas Mavericks,10,4,6,0.4,480.0,100.8,103.0,105.9,107.4,-5.1,-4.4,0.528,1.47,14.0,0.306,0.682,0.484,0.13,0.436,0.501,91.0,89.4,74.5,895,0.45,6,7,12,7,6,7,13,10,13,10,13,8,8,9,2,12,10,11,13,2000-01
1610612754,Indiana Pacers,4,1,3,0.25,192.0,95.6,99.4,104.8,105.9,-9.2,-6.5,0.634,1.66,16.8,0.302,0.631,0.463,0.142,0.436,0.482,90.2,88.0,73.33,351,0.429,11,11,2,11,12,11,11,12,3,4,5,11,14,13,7,13,14,15,14,2000-01
1610612747,Los Angeles Lakers,16,15,1,0.938,773.0,108.8,109.8,95.3,96.4,13.5,13.4,0.596,1.63,17.1,0.356,0.718,0.541,0.149,0.505,0.542,94.4,93.45,77.88,1506,0.595,3,1,1,1,3,1,1,1,7,6,4,1,2,1,10,1,2,4,1,2000-01
1610612748,Miami Heat,3,0,3,0.0,144.0,85.0,84.8,110.3,110.2,-25.3,-25.4,0.562,0.89,14.0,0.233,0.687,0.458,0.202,0.447,0.484,91.7,91.83,76.53,277,0.317,15,15,2,15,15,16,14,16,12,16,12,15,7,14,16,10,13,6,16,2000-01
1610612749,Milwaukee Bucks,18,10,8,0.556,869.0,105.0,106.0,102.4,104.8,2.6,1.2,0.627,1.69,17.2,0.329,0.666,0.504,0.144,0.476,0.526,91.1,89.59,74.66,1625,0.515,2,3,15,3,2,3,10,4,4,3,3,4,11,7,8,5,3,9,3,2000-01
1610612750,Minnesota Timberwolves,4,1,3,0.25,192.0,90.4,92.7,98.8,100.0,-8.4,-7.3,0.602,1.45,15.3,0.305,0.73,0.508,0.144,0.406,0.461,90.1,88.5,73.75,354,0.457,11,11,2,11,12,14,4,13,6,11,11,9,1,4,9,15,15,12,11,2000-01
1610612752,New York Knicks,5,2,3,0.4,240.0,100.6,99.1,99.5,103.4,1.1,-4.3,0.467,1.07,13.7,0.234,0.659,0.468,0.163,0.496,0.545,90.6,89.5,74.58,449,0.483,9,9,2,7,9,12,8,9,16,14,15,14,12,11,14,2,1,10,8,2000-01
1610612753,Orlando Magic,4,1,3,0.25,197.0,104.5,105.9,110.2,111.6,-5.6,-5.6,0.564,1.96,16.4,0.29,0.617,0.456,0.116,0.479,0.511,95.9,94.66,78.88,388,0.462,11,11,2,11,11,4,16,11,11,1,6,12,16,15,1,4,7,3,10,2000-01
1610612755,Philadelphia 76ers,23,12,11,0.522,1109.0,101.6,104.3,103.3,104.5,-1.7,-0.1,0.586,1.61,15.9,0.352,0.693,0.516,0.14,0.445,0.498,89.8,88.1,73.42,2036,0.495,1,2,16,5,1,6,9,6,9,8,8,2,5,2,5,11,11,14,7,2000-01
